,platform,read_queries,write_queries,other_queries,total_queries,transactions,latency_min,latency_max,latency_avg,time_total
587,kvm,0,28264,14282,42546,7091,41.84,880.56,198.58,20.359
588,kvm,0,8292,4146,12438,2073,34.78,321.11,96.63,20.0718
589,kvm,0,14128,7064,21192,3532,38.64,447.37,113.41,20.1217
590,kvm,0,18440,9220,27660,4610,39.38,560.84,130.38,20.1102
591,kvm,0,20880,10440,31320,5220,35.95,810.16,153.67,20.1594
592,kvm,0,24376,12188,36564,6094,33.48,675.48,165.02,20.2592
593,kvm,0,25840,12920,38760,6460,40.34,851.92,186.94,20.3013
594,kvm,0,28788,14394,43182,7197,43.76,911.84,195.34,20.2939
595,kvm,0,8440,4220,12660,2110,34.47,337.36,94.94,20.1131
596,kvm,0,14504,7252,21756,3626,33.59,424.73,110.58,20.1146
597,kvm,0,18716,9358,28074,4679,26.64,550.05,128.78,20.1652
598,kvm,0,21440,10720,32160,5360,43.05,521.3,150.05,20.2366
599,kvm,0,23308,11654,34962,5827,31.1,654.16,172.5,20.2622
600,kvm,0,26192,13096,39288,6548,36.92,924.87,184.24,20.3019
601,kvm,0,28484,14242,42726,7121,48.68,824.96,197.92,20.3562
602,kvm,0,8248,4124,12372,2062,31.21,435.07,97.17,20.0807
603,kvm,0,13712,6856,20568,3428,25.98,466.05,116.81,20.0923
604,kvm,0,17689,9065,26754,4459,32.44,480.84,134.82,20.1272
605,kvm,0,21952,10976,32928,5488,26.75,581.02,146.06,20.1424
606,kvm,0,24262,12314,36576,6096,35.12,587.35,164.76,20.231
607,kvm,0,26584,13292,39876,6646,31.19,710.58,181.33,20.2697
608,kvm,0,27193,13739,40932,6822,49.85,824.44,206.03,20.3011
609,kvm,0,7916,3958,11874,1979,33.67,691.38,101.36,20.0936
610,kvm,0,14500,7250,21750,3625,35.44,443.23,110.53,20.0795
611,kvm,0,18752,9376,28128,4688,32.7,466.97,128.38,20.1794
612,kvm,0,21416,10708,32124,5354,38.94,584.87,149.96,20.1813
613,kvm,0,23696,11848,35544,5924,35.08,648.79,170.26,20.3667
614,kvm,0,25349,12835,38184,6364,44.29,1039.07,189.26,20.2593
615,kvm,0,28348,14630,42978,7163,46.8,1138.64,196.36,20.2945
616,kvm,0,8608,4304,12912,2152,26.62,274.61,93.08,20.108
617,kvm,0,13424,6712,20136,3356,30.91,407.9,119.62,20.1436
618,kvm,0,18416,9208,27624,4604,35.26,417.75,130.6,20.1544
619,kvm,0,20880,10440,31320,5220,41.61,485.79,154.05,20.2528
620,kvm,0,23504,11752,35256,5876,41.56,655.6,170.62,20.2136
621,kvm,0,26008,13004,39012,6502,40.73,1200.04,185.27,20.2795
622,kvm,0,26440,13220,39660,6610,48.3,846.93,212.46,20.2934
623,kvm,0,8228,4114,12342,2057,28.35,304.56,97.41,20.0968
624,kvm,0,14880,7440,22320,3720,32.85,385.88,107.75,20.0925
625,kvm,0,19196,9598,28794,4799,35.11,434.75,125.78,20.2326
626,kvm,0,21456,10728,32184,5364,40.22,640.13,149.83,20.1976
627,kvm,0,24536,12268,36804,6134,42.55,623.61,163.64,20.2548
628,kvm,0,26077,13205,39282,6547,36.47,682.61,184.03,20.2704
629,kvm,0,28804,14402,43206,7201,37.41,932.07,195.31,20.3447
630,docker,264230,0,52846,317076,26423,4.89,33.29,7.57,20.0211
631,docker,390130,0,78026,468156,39013,5.66,46.12,10.25,20.0526
632,docker,379910,0,75982,455892,37991,5.58,71.26,15.8,20.0852
633,docker,366850,0,73370,440220,36685,5.53,119.49,21.81,20.1273
634,docker,353010,0,70602,423612,35301,5.86,131.31,28.34,20.1651
635,docker,342030,0,68406,410436,34203,5.82,166.58,35.11,20.2188
636,docker,332480,0,66496,398976,33248,5.94,194.47,42.14,20.2509
637,docker,273640,0,54728,328368,27364,4.82,20.53,7.31,20.0206
638,docker,394310,0,78862,473172,39431,5.51,45.39,10.15,20.046
639,docker,383690,0,76738,460428,38369,5.67,109.76,15.64,20.0849
640,docker,368020,0,73604,441624,36802,5.54,103.83,21.75,20.1263
641,docker,354090,0,70818,424908,35409,5.75,144.43,28.26,20.1697
642,docker,343690,0,68738,412428,34369,5.87,156.78,34.94,20.2074
643,docker,333890,0,66778,400668,33389,5.93,185.22,41.96,20.2497
644,docker,291930,0,58386,350316,29193,4.79,19.09,6.85,20.021
645,docker,397230,0,79446,476676,39723,5.6,51.66,10.07,20.0507
646,docker,385740,0,77148,462888,38574,5.58,75.31,15.56,20.0878
647,docker,365850,0,73170,439020,36585,5.65,108.25,21.87,20.1262
648,docker,358130,0,71626,429756,35813,5.64,139.94,27.94,20.1738
649,docker,345370,0,69074,414444,34537,5.82,154.91,34.77,20.2166
650,docker,335030,0,67006,402036,33503,5.76,249.9,41.82,20.2511
651,docker,283010,0,56602,339612,28301,4.61,24.15,7.07,20.0211
652,docker,396920,0,79384,476304,39692,5.49,53.48,10.08,20.0475
653,docker,386320,0,77264,463584,38632,5.56,76.5,15.54,20.0824
654,docker,367400,0,73480,440880,36740,5.66,109.58,21.78,20.1183
655,docker,359050,0,71810,430860,35905,5.68,125.34,27.87,20.1651
656,docker,346570,0,69314,415884,34657,5.8,198.18,34.64,20.2055
657,docker,335770,0,67154,402924,33577,5.82,183.71,41.73,20.2557
658,docker,278330,0,55666,333996,27833,4.62,31.95,7.19,20.0216
659,docker,398540,0,79708,478248,39854,5.56,45.64,10.04,20.0469
660,docker,386390,0,77278,463668,38639,5.54,94.95,15.53,20.0816
661,docker,371710,0,74342,446052,37171,5.67,95.88,21.53,20.1244
662,docker,357110,0,71422,428532,35711,5.61,125.21,28.02,20.1753
